Library;Orin-int;Orin-float;Xavier-int;Xavier-float;Nano-int;Nano-float
TFHE;43452;43452;23050;23050;173317;173317
HElib;64207;170881;97132;227499;230519;639971
SEAL;19543;11093;37080;21813;81947;46649
palisade;54158;43211;20975;43756;39135;57572
