ini;lib;tam_matr1;tam_matr2;encriptacion;precision;scheme;encript_ctx;t_total;m_total;e_program;config;program;t_program;m_program;t_compiler;m_compiler;t_compile;m_compile;poly_modulus_degree;poly_modulus_degree_ctx;rotations;coeff_modulus;coeff_modulus_arr;t_generate_keys;m_generate_keys;t_prep_inputs;m_prep_inputs;t_encrypt;m_encrypt;t_execute;m_execute;t_decrypt;m_decrypt;t_prep_outputs;m_prep_outputs;fin
1722944623.7796443;EVA;1x1;1x1;256;40;CKKS;256;0.21691274642944336;178126848;1.4169642131089801e-05;{'warn_vec_size': 'false', 'security_level': '256'};Matrix 1x1 Multiplication;0.00011467933654785156;0;1.621246337890625e-05;0;0.00063323974609375;0;32768;32768;{0};260;[60, 20, 60, 60, 60];0.06638860702514648;38580224;1.0967254638671875e-05;0;0.019249677658081055;0;0.07702255249023438;2367488;0.010787725448608398;0;1.7642974853515625e-05;0;1722944624.172711
1722944634.1147006;EVA;1x1;1x1;256;40;CKKS;256;0.22750210762023926;178712576;2.1942767216122834e-05;{'warn_vec_size': 'false', 'security_level': '256'};Matrix 1x1 Multiplication;0.00011110305786132812;0;1.621246337890625e-05;0;0.0006229877471923828;0;32768;32768;{0};260;[60, 20, 60, 60, 60];0.06587576866149902;38776832;1.0013580322265625e-05;0;0.019964218139648438;0;0.07429718971252441;2564096;0.011056900024414062;0;1.6450881958007812e-05;0;1722944634.5161211
1722949624.356023;EVA;1x1;1x1;256;40;CKKS;256;0.25308728218078613;178311168;1.5010999719795219e-05;{'warn_vec_size': 'false', 'security_level': '256'};Matrix 1x1 Multiplication;0.0001125335693359375;0;1.5497207641601562e-05;0;0.0006308555603027344;0;32768;32768;{0};260;[60, 20, 60, 60, 60];0.11863565444946289;38449152;1.33514404296875e-05;0;0.019820213317871094;0;0.08080625534057617;2236416;0.01165008544921875;0;1.52587890625e-05;0;1722949624.8428981
1722949638.2441626;EVA;1x1;1x1;256;40;CKKS;256;0.2279980182647705;176230400;1.413924009620808e-05;{'warn_vec_size': 'false', 'security_level': '256'};Matrix 1x1 Multiplication;0.00011444091796875;0;1.5735626220703125e-05;0;0.0006399154663085938;0;32768;32768;{0};260;[60, 20, 60, 60, 60];0.06576013565063477;39424000;1.239776611328125e-05;0;0.020020484924316406;0;0.07420897483825684;3153920;0.011137962341308594;0;1.8596649169921875e-05;0;1722949638.646173
