ini;lib;tam_matr1;tam_matr2;encriptacion;precision;scheme;encript_ctx;t_total;m_total;e_program;config;program;t_program;m_program;t_compiler;m_compiler;t_compile;m_compile;poly_modulus_degree;poly_modulus_degree_ctx;rotations;coeff_modulus;coeff_modulus_arr;t_generate_keys;m_generate_keys;t_prep_inputs;m_prep_inputs;t_encrypt;m_encrypt;t_execute;m_execute;t_decrypt;m_decrypt;t_prep_outputs;m_prep_outputs;fin
1722944635.321066;EVA;2x2;2x2;128;40;CKKS;128;0.27341580390930176;212934656;7.412979082158328e-07;{'warn_vec_size': 'false', 'security_level': '128'};Matrix 2x2 Multiplication;0.0002288818359375;0;1.5497207641601562e-05;0;0.002048492431640625;0;16384;16384;{0, 1, 2, -1};320;[60, 20, 60, 60, 60, 60];0.08952975273132324;49557504;1.1205673217773438e-05;0;0.02213883399963379;0;0.11106467247009277;524288;0.005162239074707031;0;1.430511474609375e-05;0;1722944635.8259065
1722949650.947277;EVA;2x2;2x2;128;40;CKKS;128;0.30763888359069824;211886080;5.389753275175051e-07;{'warn_vec_size': 'false', 'security_level': '128'};Matrix 2x2 Multiplication;0.0002307891845703125;0;1.4781951904296875e-05;0;0.002098560333251953;0;16384;16384;{0, 1, 2, -1};320;[60, 20, 60, 60, 60, 60];0.09420394897460938;51474432;1.5020370483398438e-05;0;0.023263931274414062;0;0.1156308650970459;524288;0.00554203987121582;0;1.7881393432617188e-05;0;1722949651.4973195
